Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/1418-E-Southern-Ave-Indianapolis-IN-46203/1105943_zpid/,,Single Family,40000,10/30/24,1632,sqft,24.51,4791.6,sqft,2,1,1418 E Southern Ave,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/8426-Bluff-Rd-Indianapolis-IN-46217/1167583_zpid/,,Single Family,40000,10/21/24,1088,sqft,36.76,0.66,acres,3,,8426 Bluff Rd,Indianapolis,46217,IN,USA
https://www.zillow.com/homedetails/4942-Mecca-St-Indianapolis-IN-46241/1295211_zpid/,,Single Family,40000,10/21/24,1092,sqft,36.63,10454.4,sqft,1,1,4942 Mecca St,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/1115-W-27th-St-Indianapolis-IN-46208/1075622_zpid/,,Single Family,40016,09/27/24,1155,sqft,34.65,1,acres,5,1,1115 W 27th St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/245-S-Oakland-Ave-Indianapolis-IN-46201/1073235_zpid/,,Single Family,40549,09/06/24,788,sqft,51.46,10541,sqft,1,1,245 S Oakland Ave,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/2041-Adams-St-Indianapolis-IN-46218/1078578_zpid/,,Single Family,42000,11/22/24,1104,sqft,38.04,5662.8,sqft,4,1,2041 Adams St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/937-N-Olney-St-Indianapolis-IN-46201/1078640_zpid/,,Single Family,43000,11/18/24,1950,sqft,22.05,6969.6,sqft,2,1,937 N Olney St,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/35-N-Forest-Ave-Indianapolis-IN-46201/1083266_zpid/,,Single Family,45000,09/30/24,700,sqft,64.29,3484.8,sqft,2,1,35 N Forest Ave,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/1810-E-Raymond-St-Indianapolis-IN-46203/1103468_zpid/,,Single Family,45000,09/05/24,1488,sqft,30.24,1,acres,2,1,1810 E Raymond St,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/3005-5th-Ave-E-Indianapolis-IN-46221/1121949_zpid/,,Single Family,45000,09/20/24,1200,sqft,37.5,0.42,acres,2,1,3005 5th Ave E,Indianapolis,46221,IN,USA
https://www.zillow.com/homedetails/5510-Central-Ave-Indianapolis-IN-46220/1247249_zpid/,,Single Family,45000,09/23/24,2187,sqft,20.58,0.68,acres,2,1.5,5510 Central Ave,Indianapolis,46220,IN,USA
https://www.zillow.com/homedetails/469-W-Gimber-St-Indianapolis-IN-46225/1120138_zpid/,,Single Family,45500,09/11/24,1272,sqft,35.77,6011,sqft,3,,469 W Gimber St,Indianapolis,46225,IN,USA
https://www.zillow.com/homedetails/10320-E-Starhaven-Cir-Indianapolis-IN-46229/1235000_zpid/,,Single Family,46000,10/10/24,972,sqft,47.33,9147,sqft,3,1,10320 E Starhaven Cir,Indianapolis,46229,IN,USA
https://www.zillow.com/homedetails/4034-N-Tacoma-Ave-Indianapolis-IN-46205/1252317_zpid/,,Single Family,47000,09/18/24,813,sqft,57.81,6398,sqft,2,1,4034 N Tacoma Ave,Indianapolis,46205,IN,USA
https://www.zillow.com/homedetails/1162-S-Drexel-Ave-Indianapolis-IN-46203/1116711_zpid/,,Single Family,48000,09/26/24,600,sqft,80,1045,sqft,2,,1162 S Drexel Ave,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/3337-Brouse-Ave-Indianapolis-IN-46218/1114217_zpid/,,Single Family,48400,10/18/24,1872,sqft,25.85,6534,sqft,3,1,3337 Brouse Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3944-E-30th-St-Indianapolis-IN-46218/1084355_zpid/,,Single Family,49000,09/24/24,1196,sqft,40.97,10454.4,sqft,3,1,3944 E 30th St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/2526-Caroline-Ave-Indianapolis-IN-46218/1092695_zpid/,,Single Family,50000,10/30/24,1224,sqft,40.85,5227.2,sqft,2,1,2526 Caroline Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/2614-N-Routiers-Ave-Indianapolis-IN-46219/1229726_zpid/,,Single Family,50000,09/13/24,999,sqft,50.05,7361,sqft,3,,2614 N Routiers Ave,Indianapolis,46219,IN,USA
https://www.zillow.com/homedetails/4865-E-64th-St-Indianapolis-IN-46220/1269496_zpid/,,Single Family,50000,09/20/24,,,,1,acres,,,4865 E 64th St,Indianapolis,46220,IN,USA
https://www.zillow.com/homedetails/324-Robton-St-Indianapolis-IN-46241/1286921_zpid/,,Single Family,50000,09/05/24,897,sqft,55.74,4791,sqft,3,,324 Robton St,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/1224-S-Belmont-Ave-Indianapolis-IN-46221/1292895_zpid/,,Single Family,50000,09/06/24,2424,sqft,20.63,6969.6,sqft,3,1,1224 S Belmont Ave,Indianapolis,46221,IN,USA
https://www.zillow.com/homedetails/6255-N-Tuxedo-St-Indianapolis-IN-46220/1261036_zpid/,,Single Family,51131,10/03/24,1946,sqft,26.27,0.61,acres,3,0.5,6255 N Tuxedo St,Indianapolis,46220,IN,USA
https://www.zillow.com/homedetails/3218-Welch-Dr-Indianapolis-IN-46224/1302258_zpid/,,Single Family,51657,09/05/24,925,sqft,55.85,6018,sqft,3,1,3218 Welch Dr,Indianapolis,46224,IN,USA
https://www.zillow.com/homedetails/1059-W-37th-St-Indianapolis-IN-46208/1104257_zpid/,,Single Family,52000,10/17/24,2756,sqft,18.87,5662.8,sqft,4,2,1059 W 37th St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/1127-S-Sears-Rd-Indianapolis-IN-46239/1212091_zpid/,,Single Family,52000,09/18/24,936,sqft,55.56,0.71,acres,2,1,1127 S Sears Rd,Indianapolis,46239,IN,USA
https://www.zillow.com/homedetails/1320-S-Berwick-Ave-Indianapolis-IN-46241/1298410_zpid/,,Single Family,52500,10/09/24,1080,sqft,48.61,0.26,acres,2,2,1320 S Berwick Ave,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/3106-N-Harding-St-Indianapolis-IN-46208/1075591_zpid/,,Single Family,58500,10/17/24,1296,sqft,45.14,4443,sqft,3,,3106 N Harding St,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/2521-Ethel-Ave-Indianapolis-IN-46208/1071438_zpid/,,Single Family,59500,10/30/24,816,sqft,72.92,5009,sqft,2,1,2521 Ethel Ave,Indianapolis,46208,IN,USA
https://www.zillow.com/homedetails/3612-N-Bancroft-St-Indianapolis-IN-46218/1074283_zpid/,,Single Family,60000,10/11/24,884,sqft,67.87,7971,sqft,2,,3612 N Bancroft St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/2972-N-Chester-Ave-Indianapolis-IN-46218/1080586_zpid/,,Single Family,60000,11/05/24,1745,sqft,34.38,3484.8,sqft,2,1,2972 N Chester Ave,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3340-Manor-Ct-Indianapolis-IN-46218/1112805_zpid/,,Single Family,60000,10/08/24,798,sqft,75.19,8363,sqft,2,,3340 Manor Ct,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3722-W-41st-Ter-Indianapolis-IN-46228/1203164_zpid/,,Single Family,60000,09/12/24,1036,sqft,57.92,10175,sqft,3,,3722 W 41st Ter,Indianapolis,46228,IN,USA
https://www.zillow.com/homedetails/2649-Foltz-St-Indianapolis-IN-46241/1286149_zpid/,,Single Family,60000,10/21/24,720,sqft,83.33,5227.2,sqft,3,1,2649 Foltz St,Indianapolis,46241,IN,USA
https://www.zillow.com/homedetails/2024-N-Rochester-Ave-Indianapolis-IN-46222/1287968_zpid/,,Single Family,60000,09/06/24,680,sqft,88.24,6098.4,sqft,2,1,2024 N Rochester Ave,Indianapolis,46222,IN,USA
https://www.zillow.com/homedetails/1318-Lawrence-Ave-Indianapolis-IN-46227/112854860_zpid/,,Single Family,60000,10/07/24,,,,2831,sqft,,,1318 Lawrence Ave,Indianapolis,46227,IN,USA
https://www.zillow.com/homedetails/28-N-Denny-St-Indianapolis-IN-46201/1091793_zpid/,,Single Family,61000,11/01/24,1292,sqft,47.21,3049.2,sqft,2,1,28 N Denny St,Indianapolis,46201,IN,USA
https://www.zillow.com/homedetails/1506-E-Bradbury-Ave-Indianapolis-IN-46203/1103940_zpid/,,Single Family,61000,09/11/24,1215,sqft,50.21,5227.2,sqft,3,2,1506 E Bradbury Ave,Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/2730-N-Dearborn-St-Indianapolis-IN-46218/1107274_zpid/,,Single Family,62000,10/11/24,1992,sqft,31.12,5227.2,sqft,3,1,2730 N Dearborn St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/1147-Bacon-St-Indianapolis-IN-46227/1171080_zpid/,,Single Family,63000,10/02/24,1656,sqft,38.04,5532,sqft,3,1,1147 Bacon St,Indianapolis,46227,IN,USA
https://www.zillow.com/homedetails/3910-E-34th-St-Indianapolis-IN-46218/1109631_zpid/,,Single Family,64000,11/27/24,1780,sqft,35.96,6098.4,sqft,2,1,3910 E 34th St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/Indianapolis-IN-46203/1083642_zpid/,,Single Family,64900,09/06/24,1344,sqft,48.29,6969.6,sqft,2,1,(undisclosed Address),Indianapolis,46203,IN,USA
https://www.zillow.com/homedetails/4319-N-Kitley-Ave-Indianapolis-IN-46226/1145211_zpid/,,Single Family,64900,10/23/24,1298,sqft,50,7405,sqft,3,2,4319 N Kitley Ave,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/1925-N-Oxford-St-Indianapolis-IN-46218/1093927_zpid/,,Single Family,65000,09/25/24,2112,sqft,30.78,3920.4,sqft,2,1,1925 N Oxford St,Indianapolis,46218,IN,USA
https://www.zillow.com/homedetails/3111-N-Webster-Ave-Indianapolis-IN-46226/1223420_zpid/,,Single Family,65000,09/26/24,2528,sqft,25.71,0.38,acres,4,2,3111 N Webster Ave,Indianapolis,46226,IN,USA
https://www.zillow.com/homedetails/1521-Ruth-Dr-Indianapolis-IN-46240/1256237_zpid/,,Single Family,65000,11/04/24,754,sqft,86.21,7405.2,sqft,2,1,1521 Ruth Dr,Indianapolis,46240,IN,USA
