Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/1114-S-3rd-St-Louisville-KY-40203/95203797_zpid/,,Single Family,995000,09/30/24,7000,sqft,142.14,0.3,acres,7,6,1114 S 3rd St,Louisville,40203,KY,USA
https://www.zillow.com/homedetails/5908-Brittany-Valley-Rd-Louisville-KY-40222/73474603_zpid/,,Single Family,975000,10/25/24,3992,sqft,244.24,0.53,acres,4,4,5908 Brittany Valley Rd,Louisville,40222,KY,USA
https://www.zillow.com/homedetails/15804-Crystal-Valley-Way-Louisville-KY-40299/114085756_zpid/,,Single Family,975000,11/15/24,5888,sqft,165.59,4.48,acres,3,5,15804 Crystal Valley Way,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/521-Tiffany-Ln-Rolling-Fields-KY-40207/131843898_zpid/,,Single Family,975000,10/10/24,4635,sqft,210.36,0.38,acres,4,4,521 Tiffany Ln,Rolling Fields,40207,KY,USA
https://www.zillow.com/homedetails/18910-Ridgeleigh-Ln-Louisville-KY-40245/114092904_zpid/,,Single Family,932000,09/10/24,6167,sqft,151.13,0.38,acres,5,5,18910 Ridgeleigh Ln,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/1908-Tyler-Ln-Louisville-KY-40205/73441821_zpid/,,Single Family,910000,09/19/24,4710,sqft,193.21,1.4,acres,6,4,1908 Tyler Ln,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/2107-Arnold-Palmer-Blvd-Louisville-KY-40245/114075823_zpid/,,Single Family,899000,09/05/24,5830,sqft,154.2,0.54,acres,5,5,2107 Arnold Palmer Blvd,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/1421-Hepburn-Ave-Louisville-KY-40204/131835580_zpid/,,Single Family,895000,10/18/24,5062,sqft,176.81,8712,sqft,5,5,1421 Hepburn Ave,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/17825-Bradbe-Rd-Fisherville-KY-40023/131814913_zpid/,,Single Family,880000,09/20/24,5419,sqft,162.39,69.25,acres,7,4,17825 Bradbe Rd,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/204-Travois-Rd-Indian-Hills-KY-40207/73630175_zpid/,,Single Family,879000,10/07/24,3900,sqft,225.38,0.71,acres,4,3,204 Travois Rd,Indian Hills,40207,KY,USA
https://www.zillow.com/homedetails/1312-Shakes-View-Ct-Fisherville-KY-40023/103912486_zpid/,,Single Family,875000,11/18/24,4688,sqft,186.65,0.3,acres,5,4,1312 Shakes View Ct,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/2549-Woodbourne-Ave-Louisville-KY-40205/73469217_zpid/,,Single Family,865000,11/14/24,2771,sqft,312.16,0.29,acres,3,4,2549 Woodbourne Ave,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/428-Club-Ln-Rolling-Fields-KY-40207/73627877_zpid/,,Single Family,865000,10/29/24,3765,sqft,229.75,0.31,acres,4,4,428 Club Ln,Rolling Fields,40207,KY,USA
https://www.zillow.com/homedetails/427-Pennington-Ln-Rolling-Fields-KY-40207/73504047_zpid/,,Single Family,855000,09/06/24,4118,sqft,207.63,0.42,acres,3,3,427 Pennington Ln,Rolling Fields,40207,KY,USA
https://www.zillow.com/homedetails/523-Ridgewood-Rd-Louisville-KY-40207/73448575_zpid/,,Single Family,845000,09/09/24,4747,sqft,178.01,0.82,acres,3,5,523 Ridgewood Rd,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/12301-Locust-Ln-Anchorage-KY-40223/73486523_zpid/,,Single Family,845000,10/31/24,3346,sqft,252.54,0.75,acres,4,3,12301 Locust Ln,Anchorage,40223,KY,USA
https://www.zillow.com/homedetails/4110-Lime-Kiln-Ln-Louisville-KY-40222/73489513_zpid/,,Single Family,825000,09/26/24,3574,sqft,230.83,1.05,acres,4,4,4110 Lime Kiln Ln,Louisville,40222,KY,USA
https://www.zillow.com/homedetails/5609-Bradbe-Meadows-Way-Fisherville-KY-40023/114090000_zpid/,,Single Family,825000,10/23/24,4514,sqft,182.76,5,acres,5,5,5609 Bradbe Meadows Way,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/4010-Thomas-Farm-Dr-Louisville-KY-40299/440778848_zpid/,,Single Family,822900,09/25/24,3332,sqft,246.97,0.29,acres,4,4,4010 Thomas Farm Dr,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/7503-Creekton-Dr-Louisville-KY-40241/95195739_zpid/,,Single Family,819300,09/20/24,4842,sqft,169.21,0.25,acres,4,4,7503 Creekton Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/2121-Douglass-Blvd-Louisville-KY-40205/73619623_zpid/,,Single Family,815275,11/07/24,3659,sqft,222.81,0.27,acres,4,3,2121 Douglass Blvd,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/4306-Hampton-Creek-Dr-Louisville-KY-40241/114098938_zpid/,,Single Family,815000,09/11/24,3238,sqft,251.7,0.29,acres,4,4,4306 Hampton Creek Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/643-Tall-Timber-Ct-Louisville-KY-40245/2053267789_zpid/,,Single Family,812800,12/02/24,3670,sqft,221.47,0.33,acres,4,4,643 Tall Timber Ct,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/15112-Meadow-Farms-Ct-Louisville-KY-40245/114087239_zpid/,,Single Family,811000,10/07/24,4481,sqft,180.99,0.33,acres,4,5,15112 Meadow Farms Ct,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/6-Vanherr-Dr-Louisville-KY-40299/2053255921_zpid/,,Single Family,811000,09/11/24,4176,sqft,194.2,0.27,acres,5,5,6 Vanherr Dr,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/14125-Hickory-Hills-Trl-Louisville-KY-40299/114052807_zpid/,,Single Family,810000,11/18/24,4210,sqft,192.4,6.22,acres,4,5,14125 Hickory Hills Trl,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/1702-Spruce-Ln-Louisville-KY-40207/73465689_zpid/,,Single Family,809500,10/10/24,4581,sqft,176.71,0.54,acres,4,4,1702 Spruce Ln,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/3719-Edmond-Ln-Rolling-Fields-KY-40207/73504269_zpid/,,Single Family,805000,11/06/24,3204,sqft,251.25,0.47,acres,4,3,3719 Edmond Ln,Rolling Fields,40207,KY,USA
https://www.zillow.com/homedetails/1419-S-4th-St-Louisville-KY-40208/73587376_zpid/,,Single Family,800000,11/14/24,7202,sqft,111.08,9583.2,sqft,8,4,1419 S 4th St,Louisville,40208,KY,USA
https://www.zillow.com/homedetails/525-Woodlake-Dr-Louisville-KY-40245/114049660_zpid/,,Single Family,800000,09/13/24,4007,sqft,199.65,0.7,acres,,2.5,525 Woodlake Dr,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/18401-Shallowford-Ln-Louisville-KY-40245/114086798_zpid/,,Single Family,799000,11/07/24,5530,sqft,144.48,0.45,acres,6,5,18401 Shallowford Ln,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/18512-Longview-Park-Ln-Louisville-KY-40245/114086833_zpid/,,Single Family,790000,11/19/24,5586,sqft,141.42,0.36,acres,6,5,18512 Longview Park Ln,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/606-Weymuth-Pl-Louisville-KY-40245/132064859_zpid/,,Single Family,790000,09/09/24,4471,sqft,176.69,0.42,acres,5,5,606 Weymuth Pl,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/1062-Cherokee-Rd-Louisville-KY-40204/114109941_zpid/,,Single Family,785000,09/19/24,4356,sqft,180.21,7840.8,sqft,6,5,1062 Cherokee Rd,Louisville,40204,KY,USA
https://www.zillow.com/homedetails/308-S-Lyndon-Ln-Hurstbourne-KY-40222/73631728_zpid/,,Single Family,780000,12/02/24,3665,sqft,212.82,0.27,acres,4,3,308 S Lyndon Ln,Hurstbourne,40222,KY,USA
https://www.zillow.com/homedetails/1706-Clayton-Rd-Louisville-KY-40205/73442047_zpid/,,Single Family,775000,11/19/24,3000,sqft,258.33,9100,sqft,4,3,1706 Clayton Rd,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/606-Riverwood-Dr-Louisville-KY-40207/73452527_zpid/,,Single Family,775000,10/25/24,3908,sqft,198.31,0.77,acres,4,4,606 Riverwood Dr,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/1212-Park-Hills-Dr-Louisville-KY-40207/73453788_zpid/,,Single Family,775000,10/02/24,3684,sqft,210.37,0.46,acres,4,4,1212 Park Hills Dr,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/701-Shady-Ln-Anchorage-KY-40223/73627821_zpid/,,Single Family,775000,09/18/24,3248,sqft,238.61,0.74,acres,3,3,701 Shady Ln,Anchorage,40223,KY,USA
https://www.zillow.com/homedetails/1110-S-3rd-St-Louisville-KY-40203/245293618_zpid/,,Single Family,775000,10/03/24,4948,sqft,156.63,8276.4,sqft,6,4,1110 S 3rd St,Louisville,40203,KY,USA
https://www.zillow.com/homedetails/1800-Long-Run-Rd-Louisville-KY-40245/131807818_zpid/,,Single Family,772500,11/26/24,3681,sqft,209.86,7.01,acres,5,4,1800 Long Run Rd,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/2301-Cleary-Ct-Louisville-KY-40245/114094720_zpid/,,Single Family,769000,09/27/24,4323,sqft,177.89,0.36,acres,4,4,2301 Cleary Ct,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/3312-Meadow-Bluff-Way-Louisville-KY-40245/284890125_zpid/,,Single Family,764400,10/09/24,,,,10250,sqft,0,0,3312 Meadow Bluff Way,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/7102-Graf-Springs-Dr-Louisville-KY-40241/132070802_zpid/,,Single Family,763000,11/15/24,4129,sqft,184.79,10454.4,sqft,5,4,7102 Graf Springs Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/412-Landis-Lakes-Ct-Louisville-KY-40245/114085781_zpid/,,Single Family,760000,09/18/24,4085,sqft,186.05,0.31,acres,4,5,412 Landis Lakes Ct,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/8305-Cedar-Creek-Rd-Louisville-KY-40291/73541326_zpid/,,Single Family,755000,11/22/24,3654,sqft,206.62,7.48,acres,3,3,8305 Cedar Creek Rd,Louisville,40291,KY,USA
https://www.zillow.com/homedetails/57-Lincoln-Hill-Way-Louisville-KY-40245/353691148_zpid/,,Single Family,755000,09/30/24,3766,sqft,200.48,10454.4,sqft,4,3,57 Lincoln Hill Way,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/11104-Pebble-Creek-Dr-Louisville-KY-40241/114100606_zpid/,,Single Family,750000,09/06/24,3940,sqft,190.36,10454.4,sqft,5,3,11104 Pebble Creek Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/5403-River-Rock-Dr-Louisville-KY-40241/245296794_zpid/,,Single Family,750000,10/22/24,3323,sqft,225.7,,,4,5,5403 River Rock Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/17108-Shakes-Creek-Dr-Fisherville-KY-40023/245294697_zpid/,,Single Family,746325,09/12/24,4044,sqft,184.55,0.27,acres,5,5,17108 Shakes Creek Dr,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/14707-Landis-Lakes-Dr-Louisville-KY-40245/114089938_zpid/,,Single Family,745000,10/17/24,5735,sqft,129.9,10454.4,sqft,5,7,14707 Landis Lakes Dr,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/9101-Hassy-Way-Louisville-KY-40299/114099256_zpid/,,Single Family,745000,09/23/24,3870,sqft,192.51,4.9,acres,4,4,9101 Hassy Way,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/8610-Cheffield-Dr-Hurstbourne-KY-40222/73500333_zpid/,,Single Family,740000,10/21/24,5502,sqft,134.5,0.34,acres,4,5,8610 Cheffield Dr,Hurstbourne,40222,KY,USA
https://www.zillow.com/homedetails/9201-Hassy-Way-Louisville-KY-40299/122844530_zpid/,,Single Family,739900,10/18/24,2752,sqft,268.86,4.93,acres,4,5,9201 Hassy Way,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/1819-Knollwood-Rd-Louisville-KY-40207/131979688_zpid/,,Single Family,735000,09/17/24,4614,sqft,159.3,0.45,acres,4,4,1819 Knollwood Rd,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/4408-Comanche-Trl-Indian-Hills-KY-40207/73630559_zpid/,,Single Family,732000,11/08/24,3040,sqft,240.79,0.3,acres,3,3,4408 Comanche Trl,Indian Hills,40207,KY,USA
https://www.zillow.com/homedetails/1922-Duker-Ave-Louisville-KY-40205/73458692_zpid/,,Single Family,730000,10/30/24,2530,sqft,288.54,5227.2,sqft,3,3,1922 Duker Ave,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/12613-Valley-Pine-Dr-Louisville-KY-40299/353674488_zpid/,,Single Family,729000,10/04/24,3695,sqft,197.29,0.25,acres,5,3,12613 Valley Pine Dr,Louisville,40299,KY,USA
https://www.zillow.com/homedetails/909-Oxmoor-Woods-Pkwy-Hurstbourne-KY-40222/73517986_zpid/,,Single Family,725000,10/29/24,3899,sqft,185.95,0.37,acres,4,3,909 Oxmoor Woods Pkwy,Hurstbourne,40222,KY,USA
https://www.zillow.com/homedetails/235-Blackburn-Ave-Louisville-KY-40206/73577885_zpid/,,Single Family,725000,10/01/24,3611,sqft,200.78,0.42,acres,5,5,235 Blackburn Ave,Louisville,40206,KY,USA
https://www.zillow.com/homedetails/1404-Shakes-Creek-Way-Fisherville-KY-40023/122845765_zpid/,,Single Family,720000,09/18/24,3803,sqft,189.32,0.28,acres,5,3,1404 Shakes Creek Way,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/8108-Bella-Woods-Dr-Louisville-KY-40214/103909907_zpid/,,Single Family,715000,11/01/24,4100,sqft,174.39,0.57,acres,4,3,8108 Bella Woods Dr,Louisville,40214,KY,USA
https://www.zillow.com/homedetails/4628-Crossfield-Cir-Louisville-KY-40241/73489706_zpid/,,Single Family,710000,10/14/24,5317,sqft,133.53,0.3,acres,5,5,4628 Crossfield Cir,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/1304-Shakes-View-Ct-Fisherville-KY-40023/103912482_zpid/,,Single Family,710000,09/16/24,4510,sqft,157.43,0.37,acres,5,4,1304 Shakes View Ct,Fisherville,40023,KY,USA
https://www.zillow.com/homedetails/5205-Rock-Ridge-Dr-Louisville-KY-40241/245296572_zpid/,,Single Family,710000,10/15/24,,,,9396,sqft,0,0,5205 Rock Ridge Dr,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/1622-Cowling-Ave-Louisville-KY-40205/73456960_zpid/,,Single Family,705000,10/04/24,3480,sqft,202.59,10018.8,sqft,4,3,1622 Cowling Ave,Louisville,40205,KY,USA
https://www.zillow.com/homedetails/530-W-Saint-Catherine-St-Louisville-KY-40203/73599234_zpid/,,Single Family,702500,10/07/24,4110,sqft,170.92,4356,sqft,5,4,530 W Saint Catherine St,Louisville,40203,KY,USA
https://www.zillow.com/homedetails/2549-Seneca-Dr-Seneca-Gardens-KY-40205/73538055_zpid/,,Single Family,700000,09/23/24,3003,sqft,233.1,9147.6,sqft,3,4,2549 Seneca Dr,Seneca Gardens,40205,KY,USA
https://www.zillow.com/homedetails/933-Woodland-Heights-Dr-Louisville-KY-40245/114070931_zpid/,,Single Family,700000,09/16/24,4952,sqft,141.36,0.6,acres,4,4,933 Woodland Heights Dr,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/103-Wellston-Pl-Louisville-KY-40207/2053605807_zpid/,,Single Family,699900,10/09/24,2400,sqft,291.63,4356,sqft,4,3,103 Wellston Pl,Louisville,40207,KY,USA
https://www.zillow.com/homedetails/4701-Hollis-Ln-Louisville-KY-40241/73481258_zpid/,,Single Family,695000,11/19/24,3266,sqft,212.8,5662.8,sqft,3,4,4701 Hollis Ln,Louisville,40241,KY,USA
https://www.zillow.com/homedetails/17625-Fox-Spring-Way-Louisville-KY-40245/2054492305_zpid/,,Single Family,688000,11/29/24,2250,sqft,305.78,0.36,acres,3,3,17625 Fox Spring Way,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/14406-Maple-Ridge-Pl-Louisville-KY-40245/114066541_zpid/,,Single Family,685000,11/27/24,4701,sqft,145.71,0.33,acres,4,6,14406 Maple Ridge Pl,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/18418-Shallowford-Ln-Louisville-KY-40245/114086862_zpid/,,Single Family,685000,09/09/24,5417,sqft,126.45,0.34,acres,4,5,18418 Shallowford Ln,Louisville,40245,KY,USA
https://www.zillow.com/homedetails/5706-Valley-Park-Dr-Louisville-KY-40299/132062689_zpid/,,Single Family,685000,11/01/24,4822,sqft,142.06,0.29,acres,5,4,5706 Valley Park Dr,Louisville,40299,KY,USA
